Company Name,Type,Ticker,Market Cap / Valuation (Billions USD),Notes,% of mkt cap attributable to Robotics,,,,,,
Tesla,Public,TSLA,1050,Humanoid robotics,3%,26.25,3%, 0.6744 ,,,
Intuitive Surgical,Public,ISRG,168,Surgical robotics leader,100%,194.25,16%, 0.7823 ,,"13,640,000,000,000",
ABB,Public,SWX: ABBN,122,Industrial robotics,40%,243.05,18%, 0.8606 ,,"92,900,026,872",
Keyence,Public,TYO: 6861,93,Industrial automation,95%,331.4,23%, 0.9204 ,,,
Rockwell Automation,Public,ROK,39,Industrial automation,85%,364.55,25%, 0.9454 ,,"122,208,324,224.40",
Fanuc,Public,OTCMKTS: FANUY,28,CNC and robotics,100%,392.55,26%, 0.9634 ,,,
Teradyne,Public,TER,19,Test automation,85%,408.7,27%, 0.9756 ,,"28,196,928,977.40",
Zebra Technologies,Public,ZBRA,16,Automation solutions,30%,413.5,27%, 0.9859 ,,,
Cognex,Public,CGNX,7.4,Machine vision,100%,420.9,27%, 0.9906 ,,"5,390,789,682.52",
Yaskawa,Public,TYO: 6506,5.4,Servo and robotics,95%,426.03,28%, 0.9941 ,,"791,500,000,000.00",146.8245
Omron,Public,6645.T,5.2,Automation components,75%,429.93,28%, 0.9974 ,,,
PROCEPT BioRobotics,Public,PRCT,2.3,Surgical robotics,100%,432.23,28%, 0.9989 ,,"774,950,000,000.00",
Harmonic Drive,Public,TYO: 6324,1.7,Precision gears,100%,433.93,28%, 1.0000 ,,"5,278,070,075.13",
Zipline,Private,,5.15,Drone delivery,,,,,,"260,240,000,000.00",
Skild AI,Private,,4.7,AI robotics foundation model,,,,,,"1,772,456,231.18",
Figure AI,Private,,39.5,Humanoid robotics,,,,,,,
Physical Intelligence,Private,,2.4,Robot intelligence,,,,,,,
Apptronik,Private,,1.9,Humanoid robots,,,,,,,
Agility Robotics,Private,,2.15,Bipedal robots,,,,,,,
Carbon Robotics,Private,,0.15,Agricultural robotics,,,,,,,
Iron Ox,Private,,0.3,Farming robotics,,,,,,,
Collaborative Robotics,Private,,0.46,Cobot systems,,,,,,,
Canvas,Private,,0.08,Construction robotics,,,,,,,
